"description","neighborhood_overview","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_neighbourhood","host_listings_count","host_total_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood_cleansed","neighbourhood_group_cleansed","latitude","longitude","property_type","room_type","accommodates","bathrooms","bedrooms","beds","amenities","price","minimum_nights","maximum_nights","has_availability","number_of_reviews","number_of_reviews_ltm","number_of_reviews_l30d","first_review","last_review","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","calculated_host_listings_count","calculated_host_listings_count_entire_homes","calculated_host_listings_count_private_rooms","reviews_per_month"
"Welcoming guests of 28 days or more: This gorgeous fully renovated (for AirBnB) house is within a 1 minute walk to trendy Bank Street and a five minute walk to Lansdowne Park, theatres, and wonderful nightlife.  The sun-filled apartment is the entire second floor (500 sq ft) of this century old Glebe home.   As a bonus, there is a large attic space that contains a work desk and a day queen bed. Everything is clean and new.<br /><br /><b>The space</b><br />Brand new addition in 1995 and full renovated in 2018.  This home has lots of natural light and private access.   Smart TV has NETFLIX capability with your login.  There is a punch code lock on the door which allows access anytime from check in to check out.  There is a small deck off the front of the house.  Street parking is available or the city has a parking garage two doors down with overnight parking for $14 (as of Sep 19).  New Ottawa rules on minimum length of stay.  Please contact us for more information.<br /><br /><b>Guest ","You are in the heart of an established centuries old area called the Glebe, a very hip and urban neighborhood that really has all you need for entertainment & shopping.  Lined by beautiful Victorian style homes with “Ma and Pa” shops from boutiques, bakeries, grocers, banks, pharmacies, specialty cafés, fine dining, casual dining, and pubs.  <br />You are a five minute walk to the scenic Rideau canal, a UNESCO World Heritage Site, where you can bike/walk/run along tree-lined paths or ice-skate in the winter along the longest skating canal in the world.<br />Parliament Hill is close enough to walk but easy public transit on OC-Transpo (a two-minute walk) will have you there in ten minutes.  <br />The Lansdowne development has brought a new vibe with trendy nightclubs and restaurants, green space with skatepark and play structures, a Whole Foods grocery store and a modern theatre build around the Lansdowne stadium which is  home to the Ottawa Red Blacks (CFL), the Ottawa Fury (ASL) and t","N/A","N/A","N/A","f","",7,7,"t","t","Capital",NA,45.40296,-75.69032,"Entire apartment","Entire home/apt",3,NA,1,1,"[""Coffee maker"", ""Hair dryer"", ""Wifi"", ""Microwave"", ""Free street parking"", ""Refrigerator"", ""Iron"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Fire extinguisher"", ""Essentials"", ""Paid parking on premises"", ""Washer"", ""Dryer"", ""Private entrance"", ""Patio or balcony"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Dishes and silverware"", ""Smart lock"", ""Stove"", ""Oven"", ""Paid parking off premises"", ""Dishwasher""]","$115.00",2,1125,"t",27,18,0,"2019-06-08","2020-11-01",94,10,10,10,10,10,9,"f",6,6,0,1.31
"A beautiful, spacious heritage home with a rustic charm. This home is situated within the heart of Ottawa's most popular tourist destination:the Byward Market! Minutes away from all the major attractions by foot, and is set up with internet,  kitchen essentials,  pots,  pans,  etc, to make you feel right at home.<br /><br />**PLEASE NOTE: there is a strict, no smoking policy. This includes both tobacco and marijuana. If you do need to smoke please smoke outside, away from the house. Thank you!<br /><br /><b>The space</b><br />The beautiful house is located in the heart of Byward market. This means you are surrounded by the most amazing restaurants, popular attractions, cafes, bars, etc - all right outside your door. The home is minutes from the National Art Gallery, Ottawa University, and Rideau Center, while offering a rare tranquility in the hustle and bustle of the downtown core.<br /><br /><b>Guest access</b><br />You have access to the entire house. There is free parking, a large ","The Byward Market offers a buzzing hub of outdoor farmers' market stalls, hip cafes, and great restaurants. There are also very cute specialty food shops nearby that sell great cheeses and maple-infused chocolate. The area is also known for its unique, outdoor art and great clothing produced from local artisans.","within an hour","100%","89%","f","",3,3,"t","t","Rideau-Vanier",NA,45.43143,-75.69145,"Entire house","Entire home/apt",8,NA,3,3,"[""Coffee maker"", ""Hair dryer"", ""Wifi"", ""Microwave"", ""Garden or backyard"", ""Free street parking"", ""Refrigerator"", ""Iron"", ""Free parking on premises"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Smoke alarm"", ""Fire extinguisher"", ""Essentials"", ""Washer"", ""Dryer"", ""Private entrance"", ""Patio or balcony"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Lockbox"", ""Dishes and silverware"", ""Stove"", ""Oven"", ""Dishwasher""]","$222.00",2,1125,"t",99,11,0,"2018-11-21","2020-12-28",94,9,10,10,10,10,9,"f",3,3,0,3.64
"Modern, large & bright 2-Bedroom basement apartment with private entrance and 2 parking spots. Equipped with open-concept kitchen and living area, private bathroom and access to laundry machine & washer. Spectacular space ideal for professionals, families & groups seeking a comfortable environment! This apartment sleeps 5 guests comfortably and includes one master suite with a king-sized bed, a second room with a double bed as well as a couch in common area.  Internet and cable included.<br /><br /><b>The space</b><br />Great location in central Ottawa! Located just off of the 417 Maitland exit. <br /><br />5-10 minute drive/Uber/cab ride to:<br />- Westboro, Downtown Ottawa, Little Italy, Chinatown Central Experimental Farm<br />- Shopping/Restaurants/Grocery Stores (Wal-mart, College Square, Merivale Road/Merivale Shopping Mall, Bayshore Shopping Centre)<br />*5 minute drive to Algonquin College<br />*15 minute drive to Kanata <br />*25 minute drive to Gatineau Park<br /><br /><br />","Great location in central Ottawa in a quiet subdivision with lots of green space, parks and bike paths. Conveniently located just off of the 417 Maitland exit. <br /><br />5-10 minute drive/Uber/cab ride to:<br />- Westboro, Downtown Ottawa, Little Italy, Chinatown Central Experimental Farm<br />- Shopping/Restaurants/Grocery Stores (Wal-mart, College Square, Merivale Road/Merivale Shopping Mall, Bayshore Shopping Centre)<br />*5 minute drive to Algonquin College<br />*15 minute drive to Kanata <br />*25 minute drive to Gatineau Park","within an hour","100%","97%","f","Sandy Hill",29,29,"t","t","College",NA,45.36483,-75.75324,"Entire apartment","Entire home/apt",4,NA,2,2,"[""Coffee maker"", ""Hair dryer"", ""Wifi"", ""Microwave"", ""Free street parking"", ""Keypad"", ""Refrigerator"", ""Iron"", ""Free parking on premises"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Fire extinguisher"", ""Essentials"", ""Washer"", ""Dryer"", ""Private entrance"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Dishes and silverware"", ""Stove"", ""Oven"", ""Dishwasher""]","$125.00",13,999,"t",20,2,0,"2018-10-30","2020-12-06",90,9,10,10,10,10,9,"f",23,23,0,0.72
"Welcome to my town-home in Kanata. 30 min drive to downtown Ottawa. Close to hi-tech companies, Can Tire Centre, Kanata Centrum shopping center & Signature center. Owner occupied home. My place is great for business travelers, couples and solo adventurers. Short or long stays are welcome. The bedroom contains a comfortable Queen sized bed, two side tables,  spacious closet and the door has a lock. Can accommodate up to two guests. There are two bathrooms, one full bath and second is 1/2. Enjoy!<br /><br /><b>The space</b><br />Check-in time is flexible. Late check in is welcome.  Please contact me if you have any questions about the place.<br /><br /><b>Guest access</b><br />You can access the whole house, except the bedrooms that are occupied by myself and my roommate(s). The main area includes a living room with kitchen?dinning areas and the TV with Netflix.<br /><br /><b>Other things to note</b><br />I'm a 34 year old Female (owner) and I have one  male roommate(s); we are  laid bac","It's a very new neighborhood, its very quiet and very safe for anyone.","N/A","N/A","100%","f","",1,1,"t","t","Stittsville-Kanata West",NA,45.27845,-75.88162,"Shared room in townhouse","Shared room",2,NA,1,1,"[""Essentials"", ""TV"", ""Hair dryer"", ""Washer"", ""Dryer"", ""Wifi"", ""Heating"", ""Iron"", ""Free parking on premises"", ""Shampoo"", ""First aid kit"", ""Long term stays allowed"", ""Hangers"", ""Smoke alarm"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace""]","$70.00",1,30,"t",3,0,0,"2019-05-20","2019-08-23",100,10,10,10,10,10,9,"f",1,0,0,0.14
"I am a female offering female accommodation services with shared living space.  <br /><br />Blackstone area on Terry Fox<br /><br /><b>The space</b><br />Shared kitchen, dining room, basement and bathrooms.<br /><br /><b>Guest access</b><br />Finished basement with electric fireplace and sectional sofa is shared.","Near the Terry Fox/Hazledean major intersection.","within a day","100%","80%","f","",1,1,"t","f","Stittsville-Kanata West",NA,45.27927,-75.88358,"Private room in townhouse","Private room",4,NA,2,2,"[""Coffee maker"", ""Hair dryer"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Extra pillows and blankets"", ""Children\u2019s books and toys"", ""Free street parking"", ""Refrigerator"", ""Iron"", ""Free parking on premises"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Fire extinguisher"", ""Essentials"", ""Children\u2019s dinnerware"", ""Washer"", ""Dryer"", ""Bathtub"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV"", ""Indoor fireplace"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Dishes and silverware"", ""Stove"", ""Oven"", ""Dishwasher""]","$60.00",1,1125,"t",11,4,0,"2019-03-06","2020-10-24",100,10,10,10,10,10,10,"t",1,0,1,0.46
"This bungalow will surprise you, offering an unexpected view of the city scape and sunsets from the large picture window or the screened in porch.<br />Ample bedroom and open and functional areas make for easy living.<br />The proximity to the city core (10min) and grocery stores will contribute to your successful visit to the Capital.<br />I am making use of a room available since kids have moved on.  Their are 3 rooms, mine, yours and a 3rd I am not renting as it belongs to a kid that is away at school.<br /><br /><b>The space</b><br />This 3 bedroom bungalow is located in a desirable, central neighborhood. <br />Lots of natural light, a comfortable living area and a natural fireplace.  The kitchen is very functional and fully equipped.  There is space to park your vehicle.<br /><br /><b>Guest access</b><br />Guests have access to the entire home except the owner's bedroom.  Access to the home is with a code lock on the door<br /><br /><b>Other things to note</b><br />4 cars can park","Alta Vista is a desirable neighbourhood.<br />Access to the Queensway is simple and nearby.  A city bus will get you downtown in 20min.  By car is 20min also.<br />The backyard leads to a primary school land.  The school itself is some distance away and so the view from the house is open fields and city landscape.<br />The street itself is busy with steady, but slow moving neighbourhood traffic.","N/A","N/A","0%","t","",2,2,"t","t","Alta Vista",NA,45.38487,-75.66248,"Private room in bungalow","Private room",2,NA,1,1,"[""Coffee maker"", ""Hair dryer"", ""Wifi"", ""Microwave"", ""Bed linens"", ""BBQ grill"", ""Extra pillows and blankets"", ""Children\u2019s books and toys"", ""Garden or backyard"", ""Keypad"", ""Refrigerator"", ""Iron"", ""Free parking on premises"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Fire extinguisher"", ""Essentials"", ""Washer"", ""Dryer"", ""Private entrance"", ""Bathtub"", ""Patio or balcony"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV"", ""Indoor fireplace"", ""Heating"", ""Shampoo"", ""Dishes and silverware"", ""Stove"", ""Oven"", ""Dishwasher""]","$65.00",1,14,"t",2,0,0,"2019-06-30","2019-10-31",100,10,9,10,10,10,8,"t",1,0,1,0.1
"Charming, well kept bungalow in quiet, desirable neighborhood.  Private, fenced yard with spacious deck.  Close to the Experimental Farm, Rideau Canal, the Market, and the Parliament Buildings.  Gartineau Park and Casino du Lac Leamy in Quebec are a short drive away.  Laundry facilities and parking on site.<br /><br /><b>The space</b><br />Cozy post war home with a vintage cottage vibe making guests feel immediately at home.  Guests have the whole home to themselves - 2 bedrooms on the main floor, the first with a queen bed and the second with a beautiful bunk bed.  Pretty, private third bedroom with a double four poster in the basement.  Bright, efficient kitchen with sweet little eat in area is perfect for putting together a simple meal or a more elaborate spread.  Sunny dining room opens to a private, spacious deck overlooking a beautiful yard.  Laundry area with washer, dryer, ironing board and iron in basement.<br /><br /><b>Guest access</b><br />Guests have access to entire home ","Charming neighborhood built for the vets of World War 11.  Close knit community with many descendents of the original families still living here.  A regeneration of the neighborhood is underway with many new young families mixing in with the established residents.  Mature trees line the streets and the large lots afford privacy between homes.","within an hour","100%","88%","t","",1,1,"t","t","River",NA,45.38155,-75.72869,"Entire bungalow","Entire home/apt",6,NA,3,4,"[""Coffee maker"", ""Hair dryer"", ""Washer \u2013\u00a0In unit"", ""Wifi"", ""Microwave"", ""Bed linens"", ""BBQ grill"", ""Extra pillows and blankets"", ""Garden or backyard"", ""Free street parking"", ""Refrigerator"", ""Iron"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Smoke alarm"", ""Fire extinguisher"", ""Essentials"", ""Host greets you"", ""Bathtub"", ""Patio or balcony"", ""Baking sheet"", ""Air conditioning"", ""Kitchen"", ""Dryer \u2013\u00a0In unit"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Heating"", ""Electric stove"", ""Free driveway parking on premises \u2013 3 spaces"", ""Shampoo"", ""Long term stays allowed"", ""Dishes and silverware"", ""Barbecue utensils"", ""Oven"", ""Dishwasher""]","$95.00",28,190,"t",47,7,0,"2019-02-13","2020-11-27",98,10,10,10,10,10,10,"f",1,1,0,1.93
"This private room is in a townhouse that is located in a quiet and beautiful Barrhaven neighbourhood. It is walking distance to shops and restaurants and public transportation is also a few feet away!<br /><br /><b>The space</b><br />It is a 5 minute walking distance to a plaza which has a Costco and various restaurants for guests looking for a quick bite!<br /><br /><b>Guest access</b><br />they have access to the kitchen seating area, and the basement which has a TV","It is 10 minutes away from Fallowfield Train Station and walking distance to a plaza filled with shops and restaurants","N/A","N/A","N/A","f","",1,1,"t","f","Barrhaven",NA,45.26848,-75.77865,"Private room in house","Private room",2,NA,1,1,"[""Hair dryer"", ""Wifi"", ""Microwave"", ""Free street parking"", ""Refrigerator"", ""Free parking on premises"", ""Hot water"", ""Hangers"", ""Smoke alarm"", ""Essentials"", ""Host greets you"", ""Washer"", ""Dryer"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Cleaning before checkout"", ""Heating"", ""Dishes and silverware"", ""Stove"", ""Oven"", ""Dishwasher""]","$180.00",1,3,"t",0,0,0,"","",NA,NA,NA,NA,NA,NA,NA,"t",1,0,1,NA
"Sleep on my couch! It pulls out into a comfortable Queen bed. Sheet etc provided. Beautiful view of downtown Ottawa. Access to Pool, Gym and laundry facilities.<br /><br />**My cat live here. He is very friendly.**","","N/A","N/A","N/A","f","",0,0,"t","t","Capital",NA,45.41571,-75.6705,"Shared room in apartment","Shared room",2,NA,1,1,"[""Gym"", ""Essentials"", ""Washer"", ""Dryer"", ""Wifi"", ""Heating"", ""Free parking on premises"", ""Pool"", ""Long term stays allowed"", ""Hangers"", ""Elevator"", ""Smoke alarm"", ""Air conditioning"", ""Kitchen"", ""Dedicated workspace""]","$40.00",1,1125,"t",0,0,0,"","",NA,NA,NA,NA,NA,NA,NA,"f",1,0,0,NA
"This is a comfortable, bright, clean, quiet & large 1 bedroom basement apartment with high ceilings. Newly renovated with a brand new modern kitchen with quartz counter & new stainless steel appliances, a dining area, living room, 3-piece bath with jetted shower and in-floor heating, & large bedroom with ample space for yoga and an office area. It has a private entrance to the unit with a convenient key less entry and a designated parking space just steps from the front door....all for you!<br /><br /><b>The space</b><br />Looking for a comfy & quiet place to stay while in Ottawa?<br />Look no further. You have found your home away from home!! <br /><br />Amanda and I were SUPER HOSTS with our previous downtown Ottawa Airbnb property so we know how to treat our guests to a wonderful experience.  As SUPER HOSTS now for this property, our goal is to make this a place that you will want to return to again & again.<br /><br />This unit is completely renovated and ready for guests. We easil","Located on a very quiet and very safe residential street YET everything you need such as grocery & liquor stores, a movie theater, shopping plaza, gas stations, ton of restaurants and the city’s largest beach are all within only 1  - 3 kms!!  How's that for convenience! <br />It's a safe and walk-able neighborhood.<br />Want to go to Parliament hill and all the downtown tourist areas? No problem.  It’s only 8.3 kms away!<br />Looking to enjoy Ottawa's Winterlude festival in February!  It's only 5.2 kms away.","within an hour","100%","82%","t","",2,2,"t","t","Capital",NA,45.37229,-75.66832,"Entire apartment","Entire home/apt",2,NA,1,1,"[""Coffee maker"", ""Hair dryer"", ""Cable TV"", ""Wifi"", ""Breakfast"", ""Microwave"", ""Conditioner"", ""Bed linens"", ""Extra pillows and blankets"", ""Shower gel"", ""Free street parking"", ""Keypad"", ""Refrigerator"", ""Body soap"", ""Iron"", ""Free parking on premises"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Smoke alarm"", ""Fire extinguisher"", ""Essentials"", ""Washer"", ""Dryer"", ""Freezer"", ""Private entrance"", ""Baking sheet"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Dishes and silverware"", ""Stove"", ""Oven"", ""Dishwasher""]","$85.00",1,1125,"t",222,69,1,"2018-12-15","2021-01-25",98,10,10,10,10,10,10,"f",2,2,0,8.41
"2 bedrooms, 2 private bathrooms en-suite, fully equipped kitchen and living room apt -  Retreat on the Ottawa Rideau Canal in the City – Queen Elizabeth Driveway near Bank St.<br /><br /><b>The space</b><br />Just renovated from top to bottom.  <br /><br />This is the famous Glebe neighborhood.  <br /><br />This Airbnb retreat is about 50 feet from the famous Ottawa Rideau Canal,  5 minutes walk to Carleton University,  10 minutes walk to the Little Italy (Preston Street), 10 minutes walk to LAGO the wedding and event Venue,  10 minutes walk to Lansdowne Park / TD Place which frequently hosts Ottawa 67’s Hockey games, Red Blacks Football games, major live concerts….and many more. There is a main bus stop around the corner and bike path in front at the canal (the city provides bikes rentals close by).  <br /><br />Nested in the lower level of an immaculate, quiet, nonsmoking executive building on Queen Elizabeth Driveway near Bank Street.  Location Location Location.   This Airbnb is lo","Retreat on the Rideau Canal in the City – Queen Elizabeth Driveway near Bank St.<br /><br />50 feet to skate on the Rideau canal downtown Ottawa. <br /><br />This is the famous Glebe neighborhood.  <br /><br />This Airbnb retreat is about 50 feet from the famous Ottawa Rideau Canal,  5 minutes walk to Carleton University,  10 minutes walk to the Little Italy (Preston Street), 10 minutes walk to Lansdowne Park / TD Place which frequently hosts Ottawa 67’s Hockey games, Red Blacks Football games, major live concerts….and many more. There is a main bus stop around the corner and bike path in front at the canal (the city provides bikes rentals close by).<br /><br />Nested in the lower level of an immaculate, quiet, nonsmoking executive building on Queen Elizabeth Driveway near Bank Street.  Location Location Location.   This Airbnb is located in the center where most annual capital attractions take place.","within an hour","100%","77%","t","",2,2,"t","t","Capital",NA,45.39476,-75.69444,"Entire apartment","Entire home/apt",4,NA,2,2,"[""Coffee maker"", ""Hair dryer"", ""Wifi"", ""Microwave"", ""Free street parking"", ""Refrigerator"", ""Iron"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Smoke alarm"", ""Fire extinguisher"", ""Essentials"", ""Washer"", ""Dryer"", ""Private entrance"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Lake access"", ""Dishes and silverware"", ""Stove"", ""Oven"", ""Dishwasher""]","$78.00",1,1125,"t",33,2,0,"2018-11-19","2020-05-31",95,10,10,10,10,10,9,"f",1,1,0,1.21
"Sleep 4 adults and 2 children in comfort- 4 adults MAXIMUM as the trundle bed is very small. Get your day started right with a steaming mug of coffee or tea, & wind down in the evenings with Netflix, or dance the night away in the Byward Market only 2 blocks from your front door. Order in, cook up a storm or head out and enjoy one of the countless fabulous Market restaurants or grab an Uber and explore a bit farther.<br /><br />Note there is an exterior security camera monitoring the entrance.<br /><br /><b>The space</b><br />4 adults can sleep comfortably in two queen beds in private bedrooms. 2 children can share the den, where there is a trundle bed which pulls out to be two small single beds.<br /><br />There is coffee, tea and hot chocolate to get your day started on the right foot! Wind down in the evenings after dinner with Netflix.<br /><br />We love to cook so we try to have all the essentials on hand.  Help yourself to the spices, seasonings, oils...  Besides the microwave, c","This is a quiet, safe older street, steps from the Market but with low traffic.","within an hour","99%","93%","f","Centretown",31,31,"t","t","Rideau-Vanier",NA,45.43356,-75.69434,"Entire townhouse","Entire home/apt",6,NA,2,4,"[""Coffee maker"", ""Hair dryer"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Refrigerator"", ""Iron"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Fire extinguisher"", ""Essentials"", ""Washer"", ""Dryer"", ""Private entrance"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Cleaning before checkout"", ""TV"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Lockbox"", ""Dishes and silverware"", ""Stove"", ""Oven"", ""Paid parking off premises"", ""Dishwasher""]","$190.00",3,1125,"t",126,16,0,"2018-11-08","2020-11-15",98,10,10,10,10,10,10,"f",12,12,0,4.56
"Home is located in a quiet, safe and family friendly neighborhood.   <br />Ideal for a couple or one person.<br /><br /><b>The space</b><br />The bedroom on the 3rd  floor above look directly into the NCC land where you will see many kinds of local birds and trees!<br /><br /><b>Guest access</b><br />Guests are welcome to use the Living Room, kitchen including fridge. Feel free to cook if you wish, but please do your dishes. There is Free Parking for up to 3 cars on the driveway and additional parking on the street.","You’ll fall in love with the location, the people, the ambiance, and the outdoors space.","N/A","N/A","86%","f","",5,5,"t","t","College",NA,45.30975,-75.82699,"Private room in townhouse","Private room",2,NA,1,1,"[""Hair dryer"", ""Wifi"", ""Iron"", ""Free parking on premises"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Smoke alarm"", ""Fire extinguisher"", ""Lock on bedroom door"", ""Essentials"", ""Washer"", ""Dryer"", ""Private entrance"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV"", ""Heating"", ""Shampoo"", ""Smart lock""]","$180.00",1,8,"t",3,0,0,"2019-01-03","2019-06-09",100,10,10,10,10,10,10,"t",5,1,4,0.12
"Home is located in a quiet, safe and family friendly neighbourhood  <br />Ideal for a couple or one person.<br /><br /><b>The space</b><br />You’ll fall in love with the location, the people, the ambiance, and the outdoors space.<br /><br /><b>Guest access</b><br />Guests are welcome to use the Living Room, kitchen including fridge. Feel free to cook if you wish, but please do your dishes. Computer desk and comfy office chair is also available for guests. There is Free Parking for up to 3 cars on the driveway and additional parking on the street.","Great location surrounded by nature trails, many amenities, public transportation, and parks. Quite and Family Friendly Neighborhood.","N/A","N/A","86%","f","",5,5,"t","t","College",NA,45.31093,-75.82924,"Private room in townhouse","Private room",2,NA,1,1,"[""Hair dryer"", ""Wifi"", ""Iron"", ""Free parking on premises"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Smoke alarm"", ""Fire extinguisher"", ""Lock on bedroom door"", ""Essentials"", ""Washer"", ""Dryer"", ""Private entrance"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV"", ""Heating"", ""Shampoo"", ""Smart lock""]","$150.00",1,8,"t",3,0,0,"2019-02-07","2019-05-12",93,9,9,9,10,9,9,"t",5,1,4,0.12
"Home is located in a quiet, safe and family friendly neighbourhood  <br />Ideal for a couple or one person.<br /><br /><b>The space</b><br />Great location surrounded by nature trails, many amenities, public transportation, and parks.<br /><br /><b>Guest access</b><br />Guests are welcome to use the Living Room, kitchen including fridge. Feel free to cook if you wish, but please do your dishes. Computer desk and comfy office chair is also available for guests. There is Free Parking for up to 3 cars on the driveway and additional parking on the street.","You’ll fall in love with the location, the people, the ambiance, and the outdoors space. Quite and Family Friendly Neighborhood.","N/A","N/A","86%","f","",5,5,"t","t","College",NA,45.30924,-75.82715,"Private room in townhouse","Private room",2,NA,1,1,"[""Coffee maker"", ""Crib"", ""Hair dryer"", ""Cable TV"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Extra pillows and blankets"", ""Ethernet connection"", ""Garden or backyard"", ""Free street parking"", ""Refrigerator"", ""Iron"", ""Free parking on premises"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Fire extinguisher"", ""Lock on bedroom door"", ""Essentials"", ""Washer"", ""Dryer"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV"", ""Heating"", ""Shampoo"", ""Dishes and silverware"", ""Smart lock"", ""Stove"", ""Oven"", ""Dishwasher""]","$150.00",1,6,"t",3,0,0,"2019-02-08","2019-06-09",93,9,10,10,10,9,9,"t",5,1,4,0.12
"Your perfect private suite in the heart of Carlington. Get anywhere in Ottawa in a 15 minute drive, or grab the bus from right outside the home with busses that can get you to the heart of downtown Ottawa in less than 30 minutes. Close to the Canal, Dows Lake, Little Italy, Chinatown, Downtown Ottawa, the trendy Westboro and Hintonburg neighborhoods, the Experimental Farms, Canada's Parliament, and many restaurants, museums, malls, and parks.<br /><br />Coffee and tea included!<br /><br /><b>The space</b><br />A newly renovated, very well lit basement apartment with large windows and its own private entrance and parking spot. You have a fully stocked kitchen, eating and lounging space, a private bedroom with a queen sized bed, and a  private full bathroom. We also have two, stack-able, single beds in the lounging space that makes the space great for groups up to four people, but we can try to accommodate more if requested.<br /><br /><b>Guest access</b><br />No washer and dryer access ","The historic Carlington neighborhood is a quiet little part of town as close to downtown as you can get, while still feeling like you're not in the thick of the city. With many large and mature trees and tiny little war-time veterans homes, Carlington is truly one of a kind within Ottawa.","within an hour","100%","86%","t","",0,0,"t","t","River",NA,45.38262,-75.72883,"Entire guest suite","Entire home/apt",4,NA,1,3,"[""Coffee maker"", ""Hair dryer"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Extra pillows and blankets"", ""Shower gel"", ""Free street parking"", ""Refrigerator"", ""Iron"", ""Free parking on premises"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Smoke alarm"", ""Fire extinguisher"", ""Essentials"", ""Single level home"", ""Private entrance"", ""Bathtub"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Lockbox"", ""Dishes and silverware"", ""Stove"", ""Oven""]","$80.00",1,1125,"t",13,7,0,"2019-09-16","2020-12-27",98,10,10,10,10,10,10,"f",1,1,0,0.75
