"description","neighborhood_overview","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_neighbourhood","host_listings_count","host_total_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood_cleansed","neighbourhood_group_cleansed","latitude","longitude","property_type","room_type","accommodates","bathrooms","bedrooms","beds","amenities","price","minimum_nights","maximum_nights","has_availability","number_of_reviews","number_of_reviews_ltm","number_of_reviews_l30d","first_review","last_review","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","calculated_host_listings_count","calculated_host_listings_count_entire_homes","calculated_host_listings_count_private_rooms","reviews_per_month"
"Have a whole house all to yourself! Modern, spacious, with new furnishings. 2 bedroom/ 2 storey attached home located 10 minutes from the airport and downtown; 5 minutes to the beach (Mooney's Bay), and just steps to the Rideau Canal and Hog's Back Falls. The space is quiet and peaceful if you just want to relax and enjoy - inside or outside in your private side yard.  Parking and laundry included onsite.  Sleeps 4 people comfortably. See you soon!<br /><br /><b>The space</b><br />With spacious rooms throughout this home, there is lots to enjoy.  A chef's kitchen is awaiting the inner cook in you.  You can also rest easy in 2 big bedrooms (3 beds).  The private office or the loft bedroom are also  spacious enough to accommodate an extra air mattress if you are more than 4 people.  The sofa bed works as a bed for a 5th person. <br /><br />The bathroom is compact, but also offers guests a chance to soak in a nice deep tub. <br /><br />The property around the home is lush and green, you c","The location of this home is central and easy to use a base to get to all of the lovely museums, parks, beaches and sites Ottawa offers. <br /><br />Just 10 minutes by car from the airport.<br />For cyclists, the home is situated on a bike path that will take you along the picturesque Rideau Canal or to a number of local parks and destinations. <br /><br />Within walking distance to nature trails, Canada's largest playground, Mooney's Bay Beach, the Rideau Canal, Carleton University, and many restaurants, and a drug store and groceries.","within a few hours","100%","85%","t","",1,1,"t","t","River",NA,45.35617,-75.70256,"Entire house","Entire home/apt",4,NA,2,3,"[""Game console"", ""Coffee maker"", ""Wifi"", ""Microwave"", ""Bed linens"", ""BBQ grill"", ""Extra pillows and blankets"", ""Shower gel"", ""Children\u2019s books and toys"", ""Pack \u2019n Play/travel crib"", ""Garden or backyard"", ""Keypad"", ""Refrigerator"", ""Iron"", ""Free parking on premises"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Fire extinguisher"", ""Essentials"", ""Children\u2019s dinnerware"", ""Washer"", ""Dryer"", ""Private entrance"", ""Bathtub"", ""Baking sheet"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV"", ""Babysitter recommendations"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Lake access"", ""Dishes and silverware"", ""Baby safety gates"", ""Barbecue utensils"", ""Stove"", ""Oven"", ""Dishwasher"", ""Room-darkening shades""]","$130.00",2,60,"t",29,4,1,"2017-07-02","2021-01-30",91,9,9,10,10,10,9,"f",1,1,0,0.66
"Quiet and clean. Lovely hardwood floors, high ceilings, and lots of natural light. Scent free environment. Mini fridge. Walking distance to Ottawa Civic Hospital, art and culture, parks, restaurants and fine dining, stores, and street front shopping. Saint Mary's Catholic church is across the street. <br /><br />St. Mary's Mass times: <br />Saturday 5:00pm<br />Sunday: 9:00am and 11:00am. <br /><br />FREE PARKING<br /><br /><b>The space</b><br />Tranquil. Clean. WiFi. laundry. Near public transit, shopping, restaurants. New - small appliances for guest use: Mini-fridge, kettle, and microwave oven. This is a scent free environment. Please review house rules to ensure a safe and happy stay.<br /><br /><b>Guest access</b><br />The main bathroom is available for guest use. The powder room in the entryway may be used when the main bathroom is occupied.  Dining room may be used between 7:00am and 8:00pm. When weather is fine eat breakfast on private backyard deck. laundry.<br /><br /><b>Othe","We are situated on the boarder of the following three communities: <br />1. The Ottawa Civic area - a hospital campus, the experimental farm, and  low density residential homes. <br />2. Westborough & Hintenburg - Residential homes & condos, shops, galleries, theater, restaurants .... near Tunney's Pasture and trails along the Ottawa  River. <br />3.Little Italy: Entertainment & Great food; Gladstone theater; Live comedy; Preston street 5 minute walk restaurants & great shopping.","within a few hours","75%","77%","f","",2,2,"t","t","Kitchissippi",NA,45.40189,-75.71669,"Private room in house","Private room",2,NA,1,1,"[""Hot water kettle"", ""Hair dryer"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Extra pillows and blankets"", ""Free street parking"", ""Refrigerator"", ""Iron"", ""Free parking on premises"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Smoke alarm"", ""Lock on bedroom door"", ""Fire extinguisher"", ""Essentials"", ""Host greets you"", ""Washer"", ""Dryer"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Cleaning before checkout"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Lake access"", ""Luggage dropoff allowed""]","$39.00",2,28,"t",61,8,0,"2016-12-20","2020-09-30",98,10,10,10,10,10,10,"f",2,0,2,1.21
"<b>The space</b><br />I have a nice room for rent downtown Ottawa. Accommodate 2 people. Close of Parliamentary of Canada, Rideau Shopping Mall and several Museums.  <br /><br />(min 3 nights, 95$/night CAD each room)<br />internet wifi available<br />local phone area<br />Cable TV<br />kitchen (stove, frigo, microwave, coffee machine, toaster and dishes)<br />bathroom<br />living room<br />restaurants, bars are close in By Market<br />Nice place to stay!!<br />Available from May 1st- August 31th, 2014<br /><br />p.s.(Also, a second room can be made available to accommodate 2 more people at 85$/night)","","N/A","N/A","N/A","f","",1,1,"t","t","Somerset",NA,45.41938,-75.69505,"Private room in apartment","Private room",1,NA,1,1,"[""Essentials"", ""Washer"", ""Dryer"", ""Fire extinguisher"", ""Wifi"", ""Kitchen"", ""Heating"", ""Long term stays allowed"", ""First aid kit"", ""Elevator"", ""Smoke alarm"", ""Lock on bedroom door"", ""Carbon monoxide alarm""]","$75.00",90,1125,"t",8,0,0,"2013-05-27","2017-05-06",91,10,9,10,10,10,8,"t",1,0,1,0.09
"Welcome to my home! Originally built in 1912, this semi-detached house is  totally renovated. It is within walking distance of the Byward Market, Parliament Hill, National Gallery, Rideau Canal and basically most Ottawa sites.<br /><br /><b>The space</b><br />Enjoy a totally new landscaped back yard and deck. It is truly an ""urban cottage"". The space is ideal for families. It is also well suited for business whether attending meetings at the Shaw Convention Centre or on business with the federal government.<br /><br /><b>Guest access</b><br />Guests do not have access to the owner's bedroom which is not featured in the photos of the house.","","N/A","N/A","0%","t","",1,1,"t","t","Rideau-Vanier",NA,45.43317,-75.69192,"Entire townhouse","Entire home/apt",5,NA,3,3,"[""Essentials"", ""Coffee maker"", ""TV"", ""Hair dryer"", ""Washer"", ""Dryer"", ""Cable TV"", ""Wifi"", ""Private entrance"", ""Kitchen"", ""Heating"", ""Long term stays allowed"", ""Hangers"", ""Dishes and silverware"", ""Smoke alarm"", ""Air conditioning"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""Dedicated workspace""]","$171.00",2,1125,"t",39,1,0,"2016-07-29","2020-02-17",96,10,10,10,10,10,10,"f",1,1,0,0.7
"A perfect location with public transportation right at your door leading you straight to the heart of Downtown Ottawa or a 15 minute drive.<br /><br /><b>The space</b><br />It's a very cozy three bedroom, two bath apartment in a brand new building with wood and tiles throughout the living space and bathroom. The apartment is fully equipped with all the essentials you need in your kitchen, bathroom and bedroom. The bedroom has a queen size bed with plenty of closet space and ensuite, two bedrooms with two single beds each and the living space has a couch with a large TV which you can stream with the Netflix service. The building is brand new and quiet, it’s easily accessible to the  OC Transpo (25 Bus) which will bring you directly to Blair where you’ll be able to take the train downtown (25 minutes) and to the East/West end of the city directly. There is parking on site which is included. The apartment get cleaned by professional services after each guest leaves.<br /><br /><b>Guest ac","The apartment is located walking distance to a grocery store, pharmacy, local pub, banks, gas station and Tim Hortons.","within an hour","100%","94%","f","",5,5,"t","t","Innes",NA,45.42936,-75.56774,"Entire apartment","Entire home/apt",6,NA,3,5,"[""Essentials"", ""TV"", ""Hair dryer"", ""Washer"", ""Dryer"", ""Wifi"", ""Heating"", ""Iron"", ""Free parking on premises"", ""Long term stays allowed"", ""Hot water"", ""Hangers"", ""Elevator"", ""Smoke alarm"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm""]","$163.00",28,1125,"t",20,2,0,"2017-10-08","2020-08-22",95,10,10,10,9,10,9,"t",5,5,0,0.49
"This heritage, turn of the century home is located in the heart of downtown Ottawa (Centretown) close to great restaurants, cafes, parks, easy public transportation and steps away from the excellent Canadian Museum of Nature. A very bright house in the daytime, with big windows in the front and back, your private room is back lot facing.<br /><br />Next to major OC transit lines (on the 14 and 5). Walkable to Market (20min) and Parliament (10min). Canal (5min).<br /><br />As of Sept 2019 we'll have an elderly cat.<br /><br /><b>The space</b><br />The space<br />- The private room is in a 3-bedroom home. There is a cat who lives in the house but never has access to your room. You have the choice to engage as much as you would like or to enjoy the getaway on your own terms. <br />- Your bedroom is furnished with a double size bed, a full length mirror, a narrow white shelving unit you can store you personal items in and a chair.<br /><br /><b>Guest access</b><br />- The kitchen, back liv","Centretown is arguably the nicest neighbourhood in downtown Ottawa. Walkable to most tourist attractions and next to the best restaurants: El Camino, Manx, Common, Union, Pure Kitchen, Dat Sun<br /><br />Close to the pictuesque Rideau Canal and Parliament.","within an hour","100%","50%","f","",2,2,"t","t","Somerset",NA,45.41355,-75.68699,"Private room in house","Private room",2,NA,1,1,"[""Essentials"", ""Free street parking"", ""Hair dryer"", ""Washer"", ""Dryer"", ""Wifi"", ""Refrigerator"", ""Kitchen"", ""Bed linens"", ""Iron"", ""Heating"", ""Shampoo"", ""First aid kit"", ""Hot water"", ""Extra pillows and blankets"", ""Smoke alarm"", ""Paid parking off premises"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""Dedicated workspace""]","$51.00",1,7,"t",81,2,0,"2018-09-13","2020-02-16",92,9,9,10,10,10,9,"t",2,1,1,2.75
"One exit from Dwntwn, historic sites & Byward Market, 10min walk to General Hospital, CHEO  & Perley Rideau<br />2 bdrm private suite, full kitchen & bath in a bungalow - Provides you with all the luxuries of home in a safe neighbourhood close to amenities and many local sites. Better than a Hotel<br />*BLACK OUT BLINDS IN BEDROOMS*<br />Kicking Horse coffee & tea provided<br />10 min to Dwntwn & Ottawa University-17 min to Carleton University<br />MEDICAL STUDENTS ask about extra discount<br /><br /><b>The space</b><br />**Covid Safety** Masks MUST be worn in the shared space stairwell & laundry area please.<br />The kitchen is outfitted with everything you need to cook along with a coffee maker, toaster, kettle, dishwasher, stove, and full size fridge. We offer a selection of teas as well as regular and decaf coffee for your stay.<br />Towels, bedding (4 pillows per bed) and basic bathroom needs will be provided such as shampoo, conditioner, body wash, and a hair dryer.<br />There is","A 10 minute drive or 25 minute bicycle ride to downtown, we are close to many tourist sites such as Parliament Hill, the Canal, The Byward Market, major museums and more.<br />We are also a 10 minute drive to the trendy Glebe.<br />We are 3 minute drive or 7 minute walk to groceries and the liquor store, local Kettelman's Bagels and more. <br />We are walking distance to 3 major hospitals or a short drive - CHEO, General Hospital, and Perley Rideau","within an hour","100%","100%","f","",1,1,"t","t","Alta Vista",NA,45.40561,-75.64212,"Entire guest suite","Entire home/apt",6,NA,2,2,"[""Coffee maker"", ""Window guards"", ""Hot water kettle"", ""Hair dryer"", ""Wifi"", ""Microwave"", ""Conditioner"", ""Wine glasses"", ""Bed linens"", ""Extra pillows and blankets"", ""Shower gel"", ""High chair"", ""Children\u2019s books and toys"", ""Garden or backyard"", ""Free street parking"", ""Keypad"", ""Refrigerator"", ""Iron"", ""Free parking on premises"", ""Clothing storage"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Toaster"", ""Fire extinguisher"", ""Essentials"", ""Children\u2019s dinnerware"", ""Washer"", ""Dryer"", ""Freezer"", ""Private entrance"", ""Bathtub"", ""Patio or balcony"", ""Baking sheet"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV"", ""Babysitter recommendations"", ""Cleaning products"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Fireplace guards"", ""Dishes and silverware"", ""Stove"", ""Oven"", ""Dishwasher"", ""Room-darkening shades""]","$116.00",2,28,"t",78,10,0,"2018-06-16","2020-10-19",99,10,10,10,10,10,10,"f",1,1,0,2.4
"We live in a quite neighborhood just 4km to the city centre if you are looking for restaurants, museums and night life. If you would like to venture into nature, the river bike path is about 1km away. The trails are long and beautiful. On Sundays in the summer from 9:00am-1:00pm the city closes down our parkways for cars.  This allows cyclist, runners and rollerbladers to travel for miles without traffic. If you like hiking, the Gatineau hills are about 20kms.<br /><br /><b>The space</b><br />We are new at this but love our home.  My sister has lived in this apartment for several years and found it to be very cozy and comfortable. Included is wifi and cable TV.  If there is anything that is not listed that you are in need of, please do not hesitate to contact us and we will be happy to try and accommodate.  We would love to make your stay in Ottawa as enjoyable as possible.<br /><br /><b>Guest access</b><br />You will have your private entrance, access to the your own laundry facilitie","We live in a quite neighborhood close to the city. We love to go to Bobby's restaurant for breakfast.  Bacon, eggs, toast and coffee for $5.99","within an hour","100%","86%","f","",0,0,"t","t","Rideau-Rockcliffe",NA,45.43822,-75.65225,"Entire apartment","Entire home/apt",4,NA,1,1,"[""Coffee maker"", ""Hair dryer"", ""Cable TV"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Extra pillows and blankets"", ""Shower gel"", ""Free street parking"", ""Keypad"", ""Refrigerator"", ""Iron"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Smoke alarm"", ""Fire extinguisher"", ""Essentials"", ""Washer"", ""Dryer"", ""Single level home"", ""Private entrance"", ""Baking sheet"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV"", ""Pocket wifi"", ""Heating"", ""Long term stays allowed"", ""Dishes and silverware"", ""Stove"", ""Oven""]","$64.00",2,365,"t",18,5,0,"2017-07-02","2020-11-25",96,10,10,10,10,9,10,"t",1,1,0,0.41
"Large bedroom in a clean home and  quiet neighborhood. Close to bus stop, shops and restaurants with unlimited internet and access to use kitchen and laundry facilities. <br />Ideally for a single person or a couple. However a small family (1-2 children below 8) can easily fit on a mattress. Please feel free to drop me a line if you have any question or additional request to make.<br />I’m always looking forward to hosting great people.","","within an hour","100%","70%","f","",1,1,"t","t","Cumberland",NA,45.44525,-75.47692,"Private room in townhouse","Private room",2,NA,1,1,"[""Hair dryer"", ""Cable TV"", ""Wifi"", ""Free street parking"", ""Iron"", ""Free parking on premises"", ""Hot water"", ""Hangers"", ""Smoke alarm"", ""Lock on bedroom door"", ""Fire extinguisher"", ""Essentials"", ""Outlet covers"", ""Washer"", ""Dryer"", ""Bathtub"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV"", ""Heating"", ""Shampoo"", ""Room-darkening shades""]","$45.00",3,14,"t",54,2,0,"2017-07-02","2020-10-03",94,10,9,10,10,9,10,"f",1,0,1,1.22
"(Self-contained/no shared spaces). Pristine, bright and cheery,  cozy 1 bedroom, 1 bathroom apartment located on the top floor of a historic 3-story walk-up. Eclectic decor, NEW luxury, pillow-top queen-size bed, quality linens. Balcony, bathroom with claw foot tub/shower, linens, soap, hairdryer & hair straighter. Fully stocked kitchen with all essentials! Free Netflix/WIFI *Please note you will have to climb 3 short flights of STAIRS, which may not be suitable for guests with mobility issues)<br /><br /><b>The space</b><br />Bright and cheery, this cozy 1 bedroom, 1 bathroom apartment is located on the top floor of a historic 3-story walk-up. Eclectic decor, luxury new queen size bed, quality linens, all pristine. Free Netflix & WIFI *Please note you will have to climb stairs, may not be suitable for guests with mobility issues.* This is a fully furnished, self-contained 1 bedroom, 1 bathroom apartment with a full, but petite kitchen and fully stocked with the essentials. WINTER: VER","A few steps to Ottawa's Winterlude (Bal de Neige in French) an annual festival that takes place in the Capital, attracting hundreds of thousands of visitors each year. About 1.6 million people visit the four Winterlude sites every winter. Ottawa Winterlude's most significant events take place during the first three weekends of February. Location Overview: The Golden Triangle - One of Ottawa's most sought after Historic neighborhoods, located 1 minute from the canal and within walking distance to Elgin St. cafes, restaurants, parks, museums, Parliament Hill, National Art Center, popular tourist sites/attractions like the Tulip Festival, Winterlude & more!","within an hour","100%","100%","t","",3,3,"t","t","Somerset",NA,45.41887,-75.68547,"Entire apartment","Entire home/apt",2,NA,1,1,"[""Coffee maker"", ""Hair dryer"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Extra pillows and blankets"", ""Shower gel"", ""Free street parking"", ""Keypad"", ""Refrigerator"", ""Iron"", ""Free parking on premises"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Fire extinguisher"", ""Essentials"", ""Washer"", ""Dryer"", ""Private entrance"", ""Bathtub"", ""Patio or balcony"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Dishes and silverware"", ""Stove"", ""Oven""]","$99.00",2,180,"t",246,16,1,"2017-02-28","2021-02-01",95,10,10,10,10,10,10,"f",2,2,0,5.1
"Fully furnished living spaces and fully equipped kitchen located close to U de O and the canal, all units have similar layout, colors and furniture.  10 partments - subject to availability located between 4th and 15th floor.<br />Parking upon availability with extra fee $   /   Pets are welcome with a fee $.<br /><br /><b>The space</b><br />This apartment is the perfect blend of neutral tones, easy on the eyes and ideal for relaxation or work. The splendid king sized bed, the perfect indoor swimming pool, jacuzzi and steam room in the building are perfect for keeping fit or unwinding after your day.<br /><br /><b>Other things to note</b><br />Due to Covid19 some amenities might be closed until further notice.","","within a few hours","94%","88%","f","Downtown Montreal",272,272,"t","t","Rideau-Vanier",NA,45.42257,-75.68563,"Entire serviced apartment","Entire home/apt",2,NA,1,1,"[""Gym"", ""Coffee maker"", ""Crib"", ""Hair dryer"", ""Cable TV"", ""Wifi"", ""Microwave"", ""High chair"", ""Elevator"", ""Refrigerator"", ""Iron"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Smoke alarm"", ""Building staff"", ""Essentials"", ""Paid parking on premises"", ""Washer"", ""Dryer"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV"", ""Heating"", ""Long term stays allowed"", ""Pool"", ""Shampoo"", ""Dishes and silverware"", ""Stove"", ""Oven"", ""Dishwasher""]","$86.00",14,180,"t",3,1,0,"2016-08-05","2020-02-24",93,9,10,10,9,9,9,"f",69,69,0,0.05
"A single home (3 rooms total available); 2 rooms upstairs that share full bathroom (private bathroom when 2nd room is empty or also booked); and a 3rd room downstairs lower level, with a private shower-bathroom. Furnished with single beds, linen and towel provided. <br />A short walk: to Ottawa River & Transit main artery (day/ni bus # 38,39) plus other buses.<br />We've hosted international students for the past 10 years.<br />Hosts / owners: Paul & Sue Ann<br /><br /><b>Other things to note</b><br />One night stays permitted, flat rate cleaning charge. Thanks.","Lovely residential area located approx. 0.5 km from the river, a short walk to it through a park.","within an hour","100%","97%","t","",3,3,"t","t","Orleans",NA,45.47643,-75.55205,"Private room in house","Private room",1,NA,1,1,"[""Essentials"", ""Free street parking"", ""Keypad"", ""Wifi"", ""Patio or balcony"", ""Bed linens"", ""Heating"", ""Long term stays allowed"", ""Hot water"", ""Hangers"", ""Extra pillows and blankets"", ""Garden or backyard"", ""Smoke alarm"", ""Luggage dropoff allowed"", ""Air conditioning"", ""Lock on bedroom door"", ""Carbon monoxide alarm"", ""Dedicated workspace""]","$26.00",1,30,"t",10,5,0,"2017-06-04","2020-10-13",100,10,10,10,10,10,10,"f",3,0,3,0.22
"My place is located right in the heart of downtown Ottawa, 5 blocks from the famous Parliament Hill and 4 blocks from the pedestrian Sparks Street mall. Literally, all key destinations in Ottawa are within a 12 minute walk _ Rideau Centre, Byward Market, Chinatown, Museums, National Art Gallery, National Art Centre, the Glebe and Landsdowne park.<br /><br /><b>The space</b><br />The apartment is in a quiet building on the main floor so excellent for persons with disabilities. It accommodates 4 persons comfortably with Queen bed and Queen sofa bed. Kitchen is fully equipped, and contains a dinette for two persons.<br /><br /><b>Other things to note</b><br />I am flexible with check-in and check-out times and I also require one night for booking except long weekends and special events in the city.<br />Canada day weekend (3 nights)<br />Victoria weekend <br />Tulip festival in May<br />Easter weekend <br />Escapade festivals weekend (2 nights)","The neighbourhood is also very quiet yet in a vibrant part of the city where you can find banks, ATM, bixie bikes, car rentals etc. Please note, Uber or Taxi service will cost you under $6 if you don’t want to walk to any of the destinations listed above.<br />Three blocks away is the historic Rideau canal – waterway that has dedicated bike, walk, and run paths, not to mention the Rideau river. Boat tours are plentiful. <br /><br />A/C is provided via a stand alone unit (summer only).<br /><br />If you need to workout, GoodLife fitness open 4/24 is on Bank and Queen street which is less than 1 km away. The YMCA is closer south of the apartment.","within a day","100%","33%","f","",1,1,"t","t","Somerset",NA,45.41823,-75.69174,"Entire apartment","Entire home/apt",4,NA,NA,1,"[""Essentials"", ""Hair dryer"", ""Washer"", ""Wifi"", ""Kitchen"", ""Heating"", ""Iron"", ""Long term stays allowed"", ""Hangers"", ""Smoke alarm"", ""Fire extinguisher"", ""Dedicated workspace""]","$96.00",2,1125,"t",26,2,0,"2017-10-22","2020-09-06",91,9,8,10,10,10,9,"f",1,1,0,0.64
"Basement bachelor unit with private entrance, bathroom, and kitchenette (no stove).  Beautiful newly renovated space with functional gas fireplace.  10 minutes from downtown Ottawa.  5 minutes from Algonquin College.  Close access to the 417 Highway which give easy access to the whole city.  Close to shopping area.  One block from a bike trail system which takes you to the Ottawa river and Experimental Farm.  My family and I live in the house above and are happy to answer any questions.","","N/A","N/A","N/A","t","",1,1,"t","t","College",NA,45.36766,-75.75447,"Private room in guest suite","Private room",2,NA,NA,1,"[""Essentials"", ""Washer"", ""Dryer"", ""Indoor fireplace"", ""Fire extinguisher"", ""Wifi"", ""Kitchen"", ""Heating"", ""Private entrance"", ""Long term stays allowed"", ""Shampoo"", ""First aid kit"", ""Smoke alarm"", ""Air conditioning"", ""Lock on bedroom door"", ""Carbon monoxide alarm""]","$65.00",3,1125,"t",17,1,0,"2018-05-05","2020-02-28",96,9,10,10,10,9,9,"f",1,0,1,0.5
"A bright, spacious apartment situated in a quiet neighborhood in the heart of downtown Ottawa! Minutes away from all the major attractions, this cozy unit is set up with internet, kitchen essentials, pots, pans, etc. to make you feel right at home<br /><br />**PLEASE NOTE: there is a strict, no smoking policy in the property. This includes both tobacco and marijuana. If you do need to smoke please smoke outside, away from the house. Thank you!<br /><br /><b>The space</b><br />The beautiful house is located in the quiet neighborhood of historic sandy hills. Minutes walking to Byward Market, Ottawa U, and Rideau Center, it offers a rare tranquility in the hustle and bustle of the downtown core. <br /><br />The recently renovated unit comes fully stocked with kitchen utensils, internet, and all other essentials<br /><br /><b>Guest access</b><br />The guest will be given a key that will give them access to the main door and their private unit. Within the unit you will find all the amenitie","","within an hour","100%","89%","f","",3,3,"t","t","Rideau-Vanier",NA,45.42932,-75.68285,"Entire apartment","Entire home/apt",8,NA,4,4,"[""Coffee maker"", ""Hair dryer"", ""Wifi"", ""Microwave"", ""Free street parking"", ""Refrigerator"", ""Iron"", ""Free parking on premises"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Smoke alarm"", ""Fire extinguisher"", ""Essentials"", ""Private entrance"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Lockbox"", ""Dishes and silverware"", ""Stove"", ""Oven""]","$174.00",2,28,"t",184,19,0,"2017-12-02","2020-11-29",95,10,10,10,10,10,9,"f",3,3,0,4.72
"This is a brand new house that was finished in September 2015. It is a 3 bedroom house, I am currently living in the house and intend to rent out one  of the room. The internet speed in the house is 500GB download speed. . You’ll love my place because of the neighborhood, the comfy bed, super high speed internet connection. My place is good for couples, solo adventurers, and business travelers. The bathroom is not shared<br /><br /><b>The space</b><br />Very spacious and cosy<br /><br /><b>Guest access</b><br />Year have access to every facility in the house .","","a few days or more","0%","27%","f","",3,3,"t","t","Barrhaven",NA,45.2452,-75.73933,"Private room in townhouse","Private room",2,NA,1,1,"[""Essentials"", ""TV"", ""Free street parking"", ""Host greets you"", ""Washer"", ""Dryer"", ""Indoor fireplace"", ""Wifi"", ""Smoke alarm"", ""Bed linens"", ""Iron"", ""Heating"", ""Shampoo"", ""Long term stays allowed"", ""Hot water"", ""Hangers"", ""Extra pillows and blankets"", ""Ethernet connection"", ""Air conditioning""]","$69.00",1,1125,"t",68,0,0,"2016-05-24","2019-07-06",94,10,9,10,10,8,9,"f",2,0,2,1.18
"Private Room for single or couple in clean, eco-friendly, SHARED artist's Home Studio 1 block from EVERY convenience in trendy Ottawa Arts District. Smoke-Free, WiFi, NetTV. Shared: bathrooms, kitchen, dining, living, parking. 2nd bedroom = +$<br /><br /><b>The space</b><br />This ""AcrylArt"" Artist welcomes you to share her home nestled in the vibrant Arts District of Ottawa, Canada's Capital City. The 'artist's studio' atmosphere is cheerfully colourful, yet comfortable, clean & homey. This environmentally-conscientious, active artist can help you discover bike, hike, ski, snowshoe trails, paddle, arts & cultural activities in Canada's National Capital area.<br /><br /><b>Guest access</b><br />I want you to feel ""at home"", so guests are invited to SHARE (I live & work here full time!) the ENTIRE home. This art-full house is well-laid-out, cosy, well maintained and nicely updated. The only off-limit spaces are private bedrooms (we have an extra if needed) & some of the artist studio sp","I LOVE Wellington West - it's lively and fun, but we're one block off the 'main drag', so our location is quiet at night. This is a friendly, up-scale, inner-city arts district where I know everybody. We walk to everything we need:   grocers & delis, farmer's market, specialty shopping, parks, churches, theaters, galleries, studios (art, yoga, gym,  fitness), craft breweries, and a HUGE variety of cafes, pubs, restaurants & eateries in all ethnicities and price-ranges... this artsy 'hood is known as ""Ottawa's Gastro Alley""!<br />We are 1 block from Tunney's Pasture Station, a 20 minute walk to the Civic Hospital, and a 20 minute drive to Gatineau Park.","within a day","100%","60%","t","",2,2,"t","t","Kitchissippi",NA,45.40128,-75.73402,"Private room in house","Private room",2,NA,1,1,"[""Coffee maker"", ""Hair dryer"", ""Cable TV"", ""Wifi"", ""Microwave"", ""Bed linens"", ""BBQ grill"", ""Extra pillows and blankets"", ""Shower gel"", ""Garden or backyard"", ""Free street parking"", ""Refrigerator"", ""Iron"", ""Free parking on premises"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Luggage dropoff allowed"", ""EV charger"", ""Smoke alarm"", ""Fire extinguisher"", ""Lock on bedroom door"", ""Essentials"", ""Host greets you"", ""Washer"", ""Dryer"", ""Bathtub"", ""Patio or balcony"", ""Baking sheet"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Cleaning before checkout"", ""TV"", ""Pocket wifi"", ""Indoor fireplace"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Dishes and silverware"", ""Barbecue utensils"", ""Stove"", ""Oven"", ""Dishwasher"", ""Room-darkening shades""]","$58.00",7,60,"t",167,2,0,"2013-09-05","2020-03-15",99,10,10,10,10,10,10,"f",1,0,1,1.84
